Date/Time,Mouse Position
2023-06-17 20:44:28.637079,"(442, 447)"
2023-06-17 20:44:28.657026,"(446, 447)"
2023-06-17 20:44:28.676972,"(454, 447)"
2023-06-17 20:44:28.696919,"(462, 447)"
2023-06-17 20:44:28.717863,"(497, 451)"
2023-06-17 20:44:28.737810,"(523, 456)"
2023-06-17 20:44:28.757757,"(547, 460)"
2023-06-17 20:44:28.778701,"(573, 463)"
2023-06-17 20:44:28.799659,"(585, 465)"
2023-06-17 20:44:28.819591,"(596, 466)"
2023-06-17 20:44:28.840535,"(604, 468)"
2023-06-17 20:44:28.862476,"(612, 469)"
2023-06-17 20:44:28.884417,"(620, 471)"
2023-06-17 20:44:28.904364,"(629, 471)"
2023-06-17 20:44:28.924314,"(648, 471)"
2023-06-17 20:44:28.945255,"(673, 471)"
2023-06-17 20:44:28.966199,"(688, 469)"
2023-06-17 20:44:28.986146,"(720, 464)"
2023-06-17 20:44:29.006092,"(752, 458)"
2023-06-17 20:44:29.025934,"(799, 448)"
2023-06-17 20:44:29.045881,"(851, 433)"
2023-06-17 20:44:29.065860,"(878, 427)"
2023-06-17 20:44:29.085810,"(914, 415)"
2023-06-17 20:44:29.105721,"(930, 409)"
2023-06-17 20:44:29.125667,"(950, 401)"
2023-06-17 20:44:29.145614,"(963, 395)"
2023-06-17 20:44:29.165561,"(976, 387)"
2023-06-17 20:44:29.185507,"(988, 378)"
2023-06-17 20:44:29.205487,"(1005, 369)"
2023-06-17 20:44:29.227396,"(1020, 358)"
2023-06-17 20:44:29.252329,"(1032, 343)"
2023-06-17 20:44:29.272275,"(1045, 327)"
2023-06-17 20:44:29.292252,"(1054, 317)"
2023-06-17 20:44:29.312199,"(1068, 306)"
2023-06-17 20:44:29.333114,"(1087, 295)"
2023-06-17 20:44:29.354080,"(1101, 287)"
2023-06-17 20:44:29.374004,"(1122, 272)"
2023-06-17 20:44:29.394971,"(1135, 255)"
2023-06-17 20:44:29.414927,"(1141, 241)"
2023-06-17 20:44:29.434874,"(1147, 215)"
2023-06-17 20:44:29.456807,"(1153, 193)"
2023-06-17 20:44:29.478753,"(1153, 186)"
2023-06-17 20:44:29.498708,"(1153, 178)"
2023-06-17 20:44:29.518650,"(1149, 173)"
2023-06-17 20:44:29.538601,"(1145, 159)"
2023-06-17 20:44:29.559351,"(1146, 154)"
2023-06-17 20:44:29.559351,"(1147, 151)"
2023-06-17 20:44:29.579332,"(1153, 143)"
2023-06-17 20:44:29.600274,"(1156, 138)"
2023-06-17 20:44:29.638175,"(1167, 137)"
2023-06-17 20:44:29.659122,"(1175, 137)"
2023-06-17 20:44:29.679065,"(1180, 137)"
2023-06-17 20:44:29.699019,"(1187, 137)"
2023-06-17 20:44:29.718958,"(1189, 137)"
2023-06-17 20:44:29.738906,"(1190, 137)"
2023-06-17 20:44:29.816664,"(1192, 137)"
2023-06-17 20:44:29.843592,"(1193, 136)"
2023-06-17 20:44:29.864565,"(1194, 136)"
2023-06-17 20:44:29.988235,"(1194, 134)"
2023-06-17 20:44:30.010354,"(1194, 132)"
2023-06-17 20:44:30.030302,"(1194, 131)"
2023-06-17 20:44:30.785320,"(1195, 138)"
2023-06-17 20:44:30.805263,"(1199, 159)"
2023-06-17 20:44:30.826207,"(1204, 173)"
2023-06-17 20:44:30.846153,"(1205, 177)"
2023-06-17 20:44:30.866068,"(1208, 196)"
2023-06-17 20:44:30.886049,"(1209, 203)"
2023-06-17 20:44:30.907014,"(1209, 208)"
2023-06-17 20:44:30.927934,"(1215, 226)"
2023-06-17 20:44:30.947881,"(1216, 233)"
2023-06-17 20:44:30.967795,"(1219, 239)"
2023-06-17 20:44:30.988772,"(1221, 244)"
2023-06-17 20:44:31.008722,"(1222, 247)"
2023-06-17 20:44:31.029657,"(1223, 249)"
2023-06-17 20:44:31.164302,"(1222, 249)"
2023-06-17 20:44:31.185247,"(1221, 248)"
2023-06-17 20:44:31.205196,"(1220, 248)"
2023-06-17 20:44:31.548370,"(1219, 248)"
2023-06-17 20:44:31.607212,"(1219, 247)"
2023-06-17 20:44:31.627157,"(1218, 247)"
2023-06-17 20:44:31.647070,"(1217, 246)"
2023-06-17 20:44:31.667051,"(1216, 246)"
2023-06-17 20:44:31.706956,"(1215, 246)"
2023-06-17 20:44:32.162967,"(1215, 250)"
2023-06-17 20:44:32.183603,"(1215, 258)"
2023-06-17 20:44:32.203551,"(1213, 269)"
2023-06-17 20:44:32.223497,"(1211, 284)"
2023-06-17 20:44:32.245439,"(1209, 295)"
2023-06-17 20:44:32.270374,"(1208, 307)"
2023-06-17 20:44:32.290320,"(1208, 315)"
2023-06-17 20:44:32.310267,"(1208, 322)"
2023-06-17 20:44:32.330213,"(1208, 325)"
2023-06-17 20:44:32.351185,"(1208, 329)"
2023-06-17 20:44:32.371137,"(1207, 331)"
2023-06-17 20:44:32.391083,"(1207, 333)"
2023-06-17 20:44:32.410996,"(1205, 335)"
2023-06-17 20:44:32.431674,"(1203, 337)"
2023-06-17 20:44:32.451622,"(1201, 340)"
2023-06-17 20:44:32.471569,"(1200, 341)"
2023-06-17 20:44:32.490518,"(1199, 342)"
2023-06-17 20:44:32.510465,"(1199, 343)"
2023-06-17 20:44:32.530412,"(1198, 345)"
2023-06-17 20:44:32.550358,"(1198, 347)"
2023-06-17 20:44:32.570305,"(1197, 348)"
2023-06-17 20:44:32.590252,"(1196, 350)"
2023-06-17 20:44:32.610198,"(1196, 351)"
2023-06-17 20:44:32.840608,"(1195, 351)"
2023-06-17 20:44:32.860529,"(1193, 354)"
2023-06-17 20:44:32.883468,"(1191, 356)"
2023-06-17 20:44:32.903414,"(1188, 360)"
2023-06-17 20:44:32.924358,"(1187, 361)"
2023-06-17 20:44:32.944338,"(1186, 363)"
2023-06-17 20:44:32.964285,"(1186, 366)"
2023-06-17 20:44:32.985229,"(1185, 367)"
2023-06-17 20:44:33.005179,"(1185, 368)"
2023-06-17 20:44:33.025123,"(1185, 370)"
2023-06-17 20:44:33.045069,"(1185, 371)"
2023-06-17 20:44:33.065980,"(1185, 372)"
2023-06-17 20:44:33.085926,"(1185, 373)"
2023-06-17 20:44:33.105872,"(1185, 380)"
2023-06-17 20:44:33.125819,"(1185, 388)"
2023-06-17 20:44:33.145766,"(1186, 402)"
2023-06-17 20:44:33.166711,"(1188, 410)"
2023-06-17 20:44:33.186656,"(1188, 415)"
2023-06-17 20:44:33.206603,"(1189, 418)"
2023-06-17 20:44:33.226550,"(1189, 420)"
2023-06-17 20:44:33.321296,"(1190, 426)"
2023-06-17 20:44:33.341243,"(1191, 432)"
2023-06-17 20:44:33.361189,"(1191, 442)"
2023-06-17 20:44:33.382133,"(1192, 446)"
2023-06-17 20:44:33.402080,"(1193, 449)"
2023-06-17 20:44:33.422027,"(1194, 450)"
2023-06-17 20:44:33.441973,"(1196, 451)"
2023-06-17 20:44:33.666376,"(1196, 452)"
2023-06-17 20:44:33.687474,"(1196, 455)"
2023-06-17 20:44:33.687474,"(1196, 456)"
2023-06-17 20:44:33.708436,"(1196, 460)"
2023-06-17 20:44:33.728399,"(1196, 465)"
2023-06-17 20:44:33.748346,"(1197, 466)"
2023-06-17 20:44:33.769291,"(1197, 467)"
2023-06-17 20:44:33.827230,"(1198, 467)"
2023-06-17 20:44:34.439560,"(1198, 469)"
2023-06-17 20:44:34.460504,"(1198, 474)"
2023-06-17 20:44:34.480451,"(1200, 488)"
2023-06-17 20:44:34.500397,"(1204, 514)"
2023-06-17 20:44:34.521375,"(1210, 540)"
2023-06-17 20:44:34.541320,"(1212, 557)"
2023-06-17 20:44:34.561267,"(1213, 577)"
2023-06-17 20:44:34.581214,"(1213, 582)"
2023-06-17 20:44:34.602157,"(1213, 585)"
2023-06-17 20:44:34.678948,"(1212, 585)"
2023-06-17 20:44:34.699863,"(1212, 584)"
2023-06-17 20:44:34.719843,"(1211, 584)"
2023-06-17 20:44:34.759704,"(1211, 585)"
2023-06-17 20:44:34.779650,"(1211, 587)"
2023-06-17 20:44:34.799597,"(1213, 591)"
2023-06-17 20:44:34.819544,"(1213, 594)"
2023-06-17 20:44:34.839490,"(1214, 596)"
2023-06-17 20:44:34.860434,"(1214, 598)"
2023-06-17 20:44:34.880380,"(1215, 598)"
2023-06-17 20:44:34.920306,"(1215, 599)"
2023-06-17 20:44:34.986070,"(1216, 599)"
2023-06-17 20:44:35.444386,"(1215, 595)"
2023-06-17 20:44:35.464332,"(1215, 591)"
2023-06-17 20:44:51.947567,"(1214, 590)"
2023-06-17 20:44:51.948594,"(1213, 587)"
2023-06-17 20:44:51.968576,"(1213, 586)"
2023-06-17 20:44:52.316644,"(1213, 585)"
2023-06-17 20:44:54.043018,"(1212, 587)"
2023-06-17 20:44:54.063928,"(1209, 594)"
2023-06-17 20:44:54.083875,"(1205, 603)"
2023-06-17 20:44:54.104819,"(1203, 608)"
2023-06-17 20:44:54.124801,"(1199, 626)"
2023-06-17 20:44:54.146708,"(1193, 645)"
2023-06-17 20:44:54.166687,"(1187, 658)"
2023-06-17 20:44:54.187631,"(1182, 673)"
2023-06-17 20:44:54.207582,"(1181, 677)"
2023-06-17 20:44:54.228522,"(1180, 681)"
2023-06-17 20:44:54.249432,"(1180, 682)"
2023-06-17 20:44:54.250444,"(1180, 683)"
2023-06-17 20:44:54.269379,"(1180, 684)"
2023-06-17 20:44:54.289325,"(1180, 687)"
2023-06-17 20:44:54.310269,"(1180, 690)"
2023-06-17 20:44:54.330216,"(1180, 692)"
2023-06-17 20:44:54.350163,"(1180, 694)"
2023-06-17 20:44:54.371140,"(1179, 695)"
2023-06-17 20:44:54.391089,"(1179, 697)"
2023-06-17 20:44:54.412033,"(1178, 699)"
2023-06-17 20:44:54.431977,"(1178, 701)"
2023-06-17 20:44:54.451927,"(1178, 706)"
2023-06-17 20:44:54.472834,"(1177, 709)"
2023-06-17 20:44:54.474829,"(1176, 711)"
2023-06-17 20:44:54.494798,"(1176, 713)"
2023-06-17 20:44:54.515720,"(1174, 717)"
2023-06-17 20:44:54.536698,"(1174, 719)"
2023-06-17 20:44:54.556647,"(1173, 720)"
2023-06-17 20:44:56.531240,"(1173, 721)"
2023-06-17 20:44:56.589086,"(1174, 721)"
2023-06-17 20:44:56.646931,"(1175, 720)"
2023-06-17 20:44:56.686824,"(1175, 719)"
2023-06-17 20:44:57.102220,"(1176, 719)"
2023-06-17 20:45:20.267234,"(1176, 718)"
2023-06-17 20:45:20.287180,"(1180, 706)"
2023-06-17 20:45:20.307127,"(1180, 696)"
2023-06-17 20:45:20.328071,"(1180, 693)"
2023-06-17 20:45:20.348018,"(1180, 692)"
2023-06-17 20:45:20.368991,"(1187, 673)"
2023-06-17 20:45:20.389939,"(1237, 568)"
2023-06-17 20:45:20.410882,"(1305, 438)"
2023-06-17 20:45:20.431803,"(1337, 368)"
2023-06-17 20:45:20.452590,"(1352, 287)"
2023-06-17 20:45:20.472538,"(1343, 237)"
2023-06-17 20:45:20.493483,"(1328, 219)"
2023-06-17 20:45:20.514060,"(1308, 213)"
2023-06-17 20:45:20.534008,"(1303, 213)"
2023-06-17 20:45:20.591853,"(1307, 209)"
2023-06-17 20:45:20.611800,"(1311, 196)"
2023-06-17 20:45:20.631747,"(1312, 185)"
2023-06-17 20:45:20.651693,"(1315, 176)"
2023-06-17 20:45:20.672637,"(1321, 162)"
2023-06-17 20:45:20.692584,"(1326, 142)"
2023-06-17 20:45:20.712530,"(1326, 138)"
2023-06-17 20:45:20.733474,"(1315, 138)"
2023-06-17 20:45:20.753421,"(1287, 145)"
2023-06-17 20:45:20.773368,"(1257, 152)"
2023-06-17 20:45:20.794312,"(1211, 162)"
2023-06-17 20:45:20.814258,"(1204, 171)"
2023-06-17 20:45:20.834205,"(1201, 193)"
2023-06-17 20:45:20.854152,"(1201, 204)"
2023-06-17 20:45:20.874098,"(1201, 206)"
2023-06-17 20:45:20.895042,"(1203, 204)"
2023-06-17 20:45:20.914989,"(1206, 193)"
2023-06-17 20:45:20.936353,"(1206, 184)"
2023-06-17 20:45:20.956336,"(1205, 172)"
2023-06-17 20:45:20.977281,"(1204, 162)"
2023-06-17 20:45:20.997226,"(1204, 155)"
2023-06-17 20:45:21.018170,"(1204, 150)"
2023-06-17 20:45:21.038116,"(1204, 148)"
2023-06-17 20:45:21.059060,"(1204, 145)"
2023-06-17 20:45:21.078973,"(1203, 144)"
2023-06-17 20:45:21.098943,"(1201, 144)"
2023-06-17 20:45:21.119897,"(1200, 143)"
2023-06-17 20:45:21.139844,"(1198, 143)"
2023-06-17 20:45:21.179737,"(1197, 142)"
2023-06-17 20:45:21.200681,"(1197, 141)"
2023-06-17 20:45:21.220628,"(1197, 139)"
2023-06-17 20:45:21.241571,"(1197, 137)"
2023-06-17 20:45:21.261518,"(1197, 136)"
2023-06-17 20:45:21.858920,"(1196, 137)"
2023-06-17 20:45:21.879864,"(1194, 144)"
2023-06-17 20:45:21.900808,"(1193, 153)"
2023-06-17 20:45:21.921752,"(1193, 168)"
2023-06-17 20:45:21.942696,"(1193, 187)"
2023-06-17 20:45:21.962631,"(1193, 199)"
2023-06-17 20:45:21.984161,"(1193, 216)"
2023-06-17 20:45:22.004143,"(1195, 223)"
2023-06-17 20:45:22.025086,"(1197, 225)"
2023-06-17 20:45:22.045036,"(1199, 228)"
2023-06-17 20:45:22.066270,"(1200, 229)"
2023-06-17 20:45:22.105167,"(1207, 236)"
2023-06-17 20:45:22.125114,"(1208, 236)"
2023-06-17 20:45:22.145060,"(1209, 237)"
2023-06-17 20:45:22.352506,"(1208, 237)"
2023-06-17 20:45:23.948643,"(1207, 241)"
2023-06-17 20:45:23.970618,"(1206, 242)"
2023-06-17 20:45:23.992546,"(1202, 249)"
2023-06-17 20:45:24.013507,"(1199, 256)"
2023-06-17 20:45:24.034414,"(1196, 270)"
2023-06-17 20:45:24.054397,"(1194, 284)"
2023-06-17 20:45:24.075338,"(1194, 293)"
2023-06-17 20:45:24.096283,"(1188, 315)"
2023-06-17 20:45:24.116229,"(1183, 326)"
2023-06-17 20:45:24.137174,"(1177, 340)"
2023-06-17 20:45:24.157088,"(1172, 347)"
2023-06-17 20:45:24.178030,"(1171, 351)"
2023-06-17 20:45:24.198973,"(1171, 354)"
2023-06-17 20:45:24.218943,"(1171, 355)"
2023-06-17 20:45:24.239897,"(1171, 356)"
2023-06-17 20:45:24.259811,"(1171, 357)"
2023-06-17 20:45:24.299704,"(1172, 358)"
2023-06-17 20:45:24.326632,"(1173, 358)"
2023-06-17 20:45:24.328627,"(1174, 359)"
2023-06-17 20:45:24.350568,"(1176, 360)"
2023-06-17 20:45:24.371512,"(1179, 361)"
2023-06-17 20:45:24.392456,"(1181, 362)"
2023-06-17 20:45:24.413400,"(1186, 363)"
2023-06-17 20:45:24.434344,"(1189, 364)"
2023-06-17 20:45:24.455288,"(1191, 365)"
2023-06-17 20:45:24.477229,"(1192, 366)"
2023-06-17 20:45:24.497176,"(1193, 366)"
2023-06-17 20:45:24.816356,"(1194, 367)"
2023-06-17 20:45:24.837300,"(1196, 373)"
2023-06-17 20:45:24.858243,"(1199, 385)"
2023-06-17 20:45:24.879187,"(1202, 405)"
2023-06-17 20:45:24.901125,"(1206, 441)"
2023-06-17 20:45:24.924697,"(1207, 482)"
2023-06-17 20:45:24.947635,"(1207, 510)"
2023-06-17 20:45:24.977555,"(1206, 535)"
2023-06-17 20:45:25.000516,"(1203, 549)"
2023-06-17 20:45:25.022434,"(1203, 560)"
2023-06-17 20:45:25.050360,"(1203, 574)"
2023-06-17 20:45:25.073300,"(1203, 577)"
2023-06-17 20:45:25.095240,"(1203, 578)"
2023-06-17 20:45:25.139122,"(1203, 579)"
2023-06-17 20:45:25.180013,"(1204, 579)"
2023-06-17 20:45:25.200957,"(1205, 580)"
2023-06-17 20:45:25.222899,"(1205, 581)"
2023-06-17 20:45:25.243876,"(1205, 582)"
2023-06-17 20:45:25.263822,"(1205, 585)"
2023-06-17 20:45:25.284767,"(1205, 587)"
2023-06-17 20:45:25.305711,"(1205, 589)"
2023-06-17 20:45:25.325656,"(1204, 590)"
2023-06-17 20:45:25.346601,"(1203, 591)"
2023-06-17 20:45:26.510966,"(1203, 586)"
2023-06-17 20:45:26.531910,"(1202, 583)"
2023-06-17 20:45:26.553829,"(1202, 577)"
2023-06-17 20:45:26.554828,"(1201, 572)"
2023-06-17 20:45:26.574808,"(1200, 564)"
2023-06-17 20:45:26.595748,"(1199, 547)"
2023-06-17 20:45:26.616696,"(1198, 538)"
2023-06-17 20:45:26.636646,"(1196, 520)"
2023-06-17 20:45:26.657587,"(1195, 513)"
2023-06-17 20:45:26.678531,"(1193, 504)"
2023-06-17 20:45:26.698445,"(1192, 501)"
2023-06-17 20:45:26.719424,"(1191, 497)"
2023-06-17 20:45:26.740368,"(1191, 495)"
2023-06-17 20:45:26.761310,"(1191, 494)"
2023-06-17 20:45:26.782250,"(1191, 493)"
2023-06-17 20:45:26.916860,"(1191, 492)"
2023-06-17 20:46:25.001713,"(1189, 490)"
2023-06-17 20:46:25.023654,"(1188, 489)"
2023-06-17 20:46:25.162287,"(1188, 490)"
2023-06-17 20:46:25.183233,"(1187, 495)"
2023-06-17 20:46:25.204177,"(1186, 503)"
2023-06-17 20:46:25.225121,"(1185, 511)"
2023-06-17 20:46:25.246065,"(1185, 521)"
2023-06-17 20:46:25.270998,"(1182, 540)"
2023-06-17 20:46:25.293945,"(1180, 556)"
2023-06-17 20:46:25.317873,"(1180, 574)"
2023-06-17 20:46:25.340811,"(1182, 584)"
2023-06-17 20:46:25.364747,"(1183, 595)"
2023-06-17 20:46:25.388687,"(1183, 604)"
2023-06-17 20:46:25.411622,"(1179, 616)"
2023-06-17 20:46:25.435558,"(1172, 647)"
2023-06-17 20:46:25.457499,"(1164, 675)"
2023-06-17 20:46:25.481435,"(1162, 687)"
2023-06-17 20:46:25.504417,"(1160, 700)"
2023-06-17 20:46:25.526315,"(1160, 705)"
2023-06-17 20:46:25.554240,"(1159, 708)"
2023-06-17 20:46:25.577179,"(1159, 709)"
2023-06-17 20:46:25.599121,"(1158, 709)"
2023-06-17 20:46:25.620064,"(1158, 710)"
2023-06-17 20:46:25.641008,"(1158, 716)"
2023-06-17 20:46:25.662949,"(1156, 725)"
2023-06-17 20:46:25.683893,"(1156, 729)"
2023-06-17 20:46:25.707830,"(1156, 732)"
2023-06-17 20:46:25.813201,"(1156, 731)"
2023-06-17 20:46:25.834145,"(1155, 729)"
2023-06-17 20:46:25.856086,"(1154, 728)"
2023-06-17 20:46:25.877063,"(1154, 727)"
2023-06-17 20:46:25.897972,"(1153, 727)"
2023-06-17 20:46:25.918951,"(1153, 726)"
2023-06-17 20:46:25.980783,"(1153, 725)"
2023-06-17 20:46:42.524165,"(1157, 721)"
2023-06-17 20:46:42.545106,"(1176, 703)"
2023-06-17 20:46:42.565054,"(1185, 687)"
2023-06-17 20:46:42.586995,"(1205, 656)"
2023-06-17 20:46:42.607939,"(1225, 626)"
2023-06-17 20:46:42.628882,"(1239, 597)"
2023-06-17 20:46:42.649827,"(1250, 526)"
2023-06-17 20:46:42.670773,"(1254, 496)"
2023-06-17 20:46:42.691714,"(1267, 447)"
2023-06-17 20:46:42.712659,"(1273, 423)"
2023-06-17 20:46:42.733602,"(1280, 397)"
2023-06-17 20:46:42.754547,"(1285, 380)"
2023-06-17 20:46:42.775458,"(1286, 370)"
2023-06-17 20:46:42.796402,"(1289, 361)"
2023-06-17 20:46:42.798431,"(1293, 352)"
2023-06-17 20:46:42.819375,"(1298, 340)"
2023-06-17 20:46:42.839319,"(1305, 318)"
2023-06-17 20:46:42.860264,"(1306, 292)"
2023-06-17 20:46:42.881175,"(1306, 249)"
2023-06-17 20:46:42.902118,"(1306, 220)"
2023-06-17 20:46:42.923061,"(1305, 187)"
2023-06-17 20:46:42.944320,"(1304, 172)"
2023-06-17 20:46:42.965821,"(1301, 159)"
2023-06-17 20:46:42.986759,"(1299, 154)"
2023-06-17 20:46:43.006707,"(1299, 148)"
2023-06-17 20:46:43.027651,"(1299, 142)"
2023-06-17 20:46:43.048595,"(1301, 138)"
2023-06-17 20:46:43.068541,"(1304, 131)"
2023-06-17 20:46:43.089485,"(1306, 128)"
2023-06-17 20:46:43.109432,"(1306, 124)"
2023-06-17 20:46:43.130376,"(1306, 123)"
2023-06-17 20:46:43.151320,"(1306, 122)"
2023-06-17 20:46:43.172712,"(1306, 121)"
2023-06-17 20:46:43.437008,"(1306, 117)"
2023-06-17 20:46:43.457952,"(1306, 103)"
2023-06-17 20:46:43.478896,"(1307, 90)"
2023-06-17 20:46:43.499840,"(1309, 76)"
2023-06-17 20:46:43.521649,"(1310, 67)"
2023-06-17 20:46:43.544591,"(1311, 58)"
2023-06-17 20:46:43.570518,"(1311, 44)"
2023-06-17 20:46:43.591494,"(1312, 33)"
2023-06-17 20:46:43.612438,"(1313, 27)"
2023-06-17 20:46:43.633383,"(1313, 24)"
2023-06-17 20:46:43.654330,"(1314, 19)"
2023-06-17 20:46:43.675273,"(1315, 13)"
2023-06-17 20:46:43.696215,"(1318, 9)"
2023-06-17 20:46:43.717124,"(1320, 7)"
2023-06-17 20:46:43.738068,"(1324, 4)"
2023-06-17 20:46:43.759013,"(1327, 1)"
2023-06-17 20:46:43.779990,"(1328, 0)"
2023-06-17 20:46:43.801840,"(1329, 0)"
