Image_ID,Date/Time,Image Points,Total Points
1,2023-05-19 11:07:54.711000,0,0
2,2023-05-19 11:07:58.027783,1,1
3,2023-05-19 11:07:59.762213,0,1
4,2023-05-19 11:08:02.460385,0,1
5,2023-05-19 11:08:04.748495,0,1
6,2023-05-19 11:08:05.213411,0,1
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-19 14:53:57.584546,0,0
2,2023-05-19 14:53:58.358482,1,1
3,2023-05-19 14:53:58.890115,0,1
4,2023-05-19 14:53:59.348710,0,1
5,2023-05-19 14:53:59.633006,0,1
6,2023-05-19 14:53:59.824971,0,1
7,2023-05-19 14:54:00.068161,0,1
8,2023-05-19 14:54:00.310752,0,1
9,2023-05-19 14:54:00.545703,0,1
10,2023-05-19 14:54:00.782728,0,1
11,2023-05-19 14:54:01.041308,1,2
12,2023-05-19 14:54:01.229582,0,2
13,2023-05-19 14:54:01.441901,0,2
14,2023-05-19 14:54:01.825872,0,2
15,2023-05-19 14:54:05.425972,0,2
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:27:21.632560,0,0
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:29:59.926013,0,0
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:31:14.426728,0,0
2,2023-05-20 06:31:17.242949,1,1
3,2023-05-20 06:31:19.705668,0,1
4,2023-05-20 06:31:22.519077,0,1
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:34:50.041938,0,0
2,2023-05-20 06:34:52.392229,1,1
3,2023-05-20 06:34:54.013779,0,1
4,2023-05-20 06:36:18.157427,0,1
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:44:35.846316,0,0
2,2023-05-20 06:44:38.309603,0,0
3,2023-05-20 06:44:40.078227,0,0
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:45:48.010879,0,0
2,2023-05-20 06:45:56.478073,0,0
3,2023-05-20 06:45:58.998317,0,0
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:47:25.868145,0,0
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:49:46.313116,0,0
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:51:29.112383,0,0
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 06:53:37.003225,0,0
2,2023-05-20 06:53:38.921796,1,1
3,2023-05-20 06:53:39.758485,0,1
4,2023-05-20 06:53:40.564845,0,1
5,2023-05-20 06:53:41.469109,0,1
6,2023-05-20 06:53:42.258239,0,1
7,2023-05-20 06:53:42.966329,0,1
8,2023-05-20 06:53:43.759209,0,1
9,2023-05-20 06:53:45.852049,0,1
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 07:28:41.209094,0,0
2,2023-05-20 07:29:53.834206,1,1
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 07:37:16.667979,4,4
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 07:38:29.895521,0,0
2,2023-05-20 07:38:34.392857,0,0
3,2023-05-20 07:44:01.753477,11,11
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 07:47:29.620453,0,0
2,2023-05-20 07:47:33.667628,1,1
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 13:57:15.457001,0,0
2,2023-05-20 13:58:06.726172,1,1
3,2023-05-20 14:03:18.658858,4,5
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 21:33:10.022841,0,0
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 21:59:46.797858,6,6
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 22:02:57.929298,6,6
2,2023-05-20 22:03:03.627284,1,7
3,2023-05-20 22:03:12.486225,0,7
4,2023-05-20 22:03:32.721859,3,10
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 22:25:58.563485,0,0
2,2023-05-20 22:26:03.557271,1,1
3,2023-05-20 22:26:07.554365,0,1
4,2023-05-20 22:26:08.246188,0,1
5,2023-05-20 22:26:09.009759,0,1
6,2023-05-20 22:26:09.842420,0,1
7,2023-05-20 22:26:11.715714,0,1
8,2023-05-20 22:26:12.882104,0,1
9,2023-05-20 22:26:13.191278,0,1
10,2023-05-20 22:26:13.439613,0,1
11,2023-05-20 22:26:13.651554,1,2
12,2023-05-20 22:26:13.888315,0,2
13,2023-05-20 22:26:14.144649,0,2
14,2023-05-20 22:26:15.320948,0,2
15,2023-05-20 22:26:15.895636,1,3
16,2023-05-20 22:26:17.449862,0,3
17,2023-05-20 22:26:17.947531,0,3
18,2023-05-20 22:26:21.538622,0,3
19,2023-05-20 22:26:32.782299,7,10
20,2023-05-20 22:26:44.746905,7,17
21,2023-05-20 22:26:54.780780,0,17
22,2023-05-20 22:27:36.080058,12,29
23,2023-05-20 22:27:47.452794,6,35
24,2023-05-20 22:27:59.835900,5,40
25,2023-05-20 22:28:02.315580,0,40
26,2023-05-20 22:28:03.175058,0,40
27,2023-05-20 22:28:03.629260,0,40
28,2023-05-20 22:28:04.175944,0,40
29,2023-05-20 22:28:04.580493,0,40
30,2023-05-20 22:28:05.138999,0,40
31,2023-05-20 22:28:05.477837,0,40
32,2023-05-20 22:28:05.891748,0,40
33,2023-05-20 22:28:06.202916,0,40
34,2023-05-20 22:28:06.493579,0,40
35,2023-05-20 22:28:06.760366,0,40
36,2023-05-20 22:28:06.982809,0,40
37,2023-05-20 22:28:07.242273,0,40
38,2023-05-20 22:28:07.615122,0,40
39,2023-05-20 22:28:10.325327,0,40
40,2023-05-20 22:28:26.531467,0,40
41,2023-05-20 22:28:44.024045,0,40
42,2023-05-20 22:29:03.359753,0,40
43,2023-05-20 22:29:28.167882,0,40
44,2023-05-20 22:30:18.392260,0,40
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 22:33:52.665615,2,2
2,2023-05-20 22:34:35.193695,1,3
3,2023-05-20 22:34:37.671164,0,3
4,2023-05-20 22:34:42.057139,0,3
5,2023-05-20 22:34:56.157342,8,11
6,2023-05-20 22:35:08.221342,11,22
7,2023-05-20 22:35:12.537867,1,23
8,2023-05-20 22:35:46.177230,4,27
9,2023-05-20 22:35:55.240543,16,43
10,2023-05-20 22:36:00.565914,2,45
11,2023-05-20 22:36:07.917751,1,46
12,2023-05-20 22:36:12.693531,4,50
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 22:40:56.208354,0,0
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-20 22:42:33.348478,0,0
2,2023-05-20 22:42:39.067329,1,1
3,2023-05-20 22:43:24.763553,11,12
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
Image_ID,Date/Time,Image Points,Total Points
1,2023-05-29 14:38:23.989303,2,2
